country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-05-30,-56,-33,-24,-49,-28,15
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-05-31,-47,-25,-21,-42,-25,13
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-06-01,-47,-26,-23,-41,-27,14
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-06-02,-47,-27,-22,-41,-28,14
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-06-03,-47,-27,-22,-41,-27,14
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-06-04,-50,-32,-29,-46,-26,16
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-06-05,-50,-26,-28,-42,-8,12
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-06-06,-46,-24,-23,-39,-17,14
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-06-07,-40,-20,-20,-36,-22,13
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-06-08,-43,-22,-22,-37,-25,14
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-06-09,-44,-24,-23,-39,-26,14
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-06-10,-44,-24,-22,-39,-26,14
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-06-11,-45,-25,-25,-42,-23,16
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-06-12,-52,-29,-32,-45,-8,13
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-06-13,-50,-30,-27,-44,-18,15
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-06-14,-40,-21,-22,-37,-21,13
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-06-15,-43,-23,-23,-40,-24,14
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-06-16,-44,-25,-23,-40,-26,14
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-06-17,-53,-36,-31,-49,-29,17
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-06-18,-49,-31,-30,-47,-25,16
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-06-19,-51,-29,-30,-45,-6,13
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-06-20,-45,-25,-24,-40,-15,14
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-06-21,-43,-25,-24,-40,-21,14
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-06-22,-43,-23,-22,-40,-25,15
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-06-23,-43,-24,-23,-39,-26,14
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-06-24,-43,-25,-24,-40,-25,14
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-06-25,-44,-25,-26,-41,-22,15
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-06-26,-47,-25,-27,-42,-6,12
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-06-27,-45,-26,-24,-40,-16,14
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-06-28,-42,-26,-26,-39,-20,13
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-06-29,-40,-21,-22,-38,-23,13
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-06-30,-40,-21,-22,-37,-23,13
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-07-01,-41,-23,-22,-40,-24,14
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-07-02,-39,-20,-24,-39,-19,14
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-07-03,-41,-19,-23,-38,-3,11
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-07-04,-38,-19,-21,-36,-12,13
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-07-05,-33,-16,-18,-33,-18,12
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-07-06,-34,-15,-18,-34,-21,13
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-07-07,-33,-14,-18,-32,-22,12
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-07-08,-35,-18,-20,-35,-20,12
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-07-09,-36,-19,-24,-36,-18,14
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-07-10,-36,-15,-21,-33,-1,10
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-07-11,-38,-21,-24,-36,-12,13
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-07-12,-34,-20,-22,-33,-17,12
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-07-13,-31,-13,-18,-31,-19,12
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-07-14,-31,-14,-17,-31,-20,12
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-07-15,-31,-14,-18,-31,-18,12
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-07-16,-29,-12,-19,-31,-14,12
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-07-17,-32,-11,-19,-30,3,10
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-07-18,-29,-12,-17,-29,-7,12
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-07-19,-27,-12,-17,-29,-13,11
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-07-20,-33,-17,-21,-32,-20,13
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-07-21,-37,-22,-23,-36,-21,13
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-07-22,-28,-13,-18,-29,-17,12
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-07-23,-26,-10,-18,-28,-12,12
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-07-24,-24,-5,-16,-24,11,9
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-07-25,-22,-3,-12,-22,-4,11
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-07-26,-19,-3,-10,-22,-11,10
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-07-27,-22,-4,-13,-23,-16,11
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-07-28,-19,-1,-11,-19,-16,10
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-07-29,-15,5,-5,-13,-18,9
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-07-30,-12,14,-1,-7,-21,8
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-07-31,-5,34,6,2,-2,4
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-08-01,-52,-30,8,-44,-55,14
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-08-02,-42,-16,18,-33,-60,13
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-08-03,-39,-11,17,-28,-50,10
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-08-04,-35,-10,10,-25,-43,10
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-08-05,-30,-7,6,-24,-34,9
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-08-06,-28,-5,-1,-25,-29,10
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-08-07,-28,-2,0,-17,-6,5
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-08-08,-22,-1,1,-17,-10,7
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-08-09,-18,0,-1,-17,-13,7
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-08-10,-18,2,-1,-17,-16,8
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-08-11,-23,-4,-4,-24,-30,11
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-08-12,-19,-1,-3,-18,-15,8
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-08-13,-18,1,-5,-18,-12,9
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-08-14,-20,2,-2,-16,3,6
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-08-15,-24,-2,2,-18,-26,11
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-08-16,-18,-1,-4,-15,-11,7
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-08-17,-20,-1,-6,-18,-15,8
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-08-18,-20,-2,-5,-17,-13,8
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-08-19,-19,-2,-5,-18,-12,8
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-08-20,-23,-6,-12,-22,-10,10
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-08-21,-27,-8,-14,-24,0,9
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-08-22,-24,-6,-10,-21,-5,10
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-08-23,-16,-1,-3,-15,-8,8
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-08-24,-19,-1,-5,-18,-11,9
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-08-25,-19,-2,-6,-17,-12,9
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-08-26,-19,-2,-5,-18,-10,9
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-08-27,-19,-2,-9,-17,-7,9
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-08-28,-20,1,-4,-16,3,8
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-08-29,-20,-1,-2,-17,-5,9
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-08-30,-24,-6,-3,-23,-30,12
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-08-31,-18,-1,-5,-16,-11,8
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-09-01,-20,-5,-8,-18,-13,10
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-09-02,-17,0,-4,-16,-10,9
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-09-03,-17,0,-7,-17,-9,9
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-09-04,-17,3,-3,-15,1,8
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-09-05,-16,2,-2,-14,-3,9
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-09-06,-14,2,-1,-13,-7,8
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-09-07,-15,2,-3,-14,-12,9
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-09-08,-15,3,-3,-12,-12,8
